filename,expected_crop,expected_disease,predicted_crop,predicted_disease,crop_confidence,disease_confidence,crop_correct,disease_correct
Potato/06_Late_Blight.jpg,Potato,Late Blight,Potato,Late Blight,100.0%,100.0%,TRUE,TRUE
Chilli/01_Healthy.jpg,Chilli,Healthy,Chilli,Healthy,98.6%,97.6%,TRUE,TRUE
Chilli/02_Bacterial_Spot.jpg,Chilli,Bacterial Spot,Citrus,Black Spot,93.7%,85.0%,FALSE,FALSE
Chilli/03_Leaf_Curl.jpg,Chilli,Leaf Curl,Chilli,Leaf Spot,88.0%,89.8%,TRUE,FALSE
Chilli/04_Leaf_Spot.jpg,Chilli,Leaf Spot,Chilli,Leaf Spot,88.0%,100.0%,TRUE,TRUE
Chilli/05_Healthy.jpg,Chilli,Healthy,Chilli,Healthy,88.0%,87.8%,TRUE,TRUE
Chilli/06_Bacterial_Spot.jpg,Chilli,Bacterial Spot,Citrus,Black Spot,97.8%,97.1%,FALSE,FALSE
Cotton/01_Healthy.jpg,Cotton,Healthy,Cotton,Fusarium Wilt,100.0%,97.3%,TRUE,FALSE
Cotton/02_Bacterial_Blight.jpg,Cotton,Bacterial Blight,Cotton,Bacterial Blight,96.0%,100.0%,TRUE,TRUE
Cotton/03_Curl_Virus.jpg,Cotton,Curl Virus,Cotton,Curl Virus,100.0%,84.0%,TRUE,TRUE
Cotton/04_Fusarium_Wilt.jpg,Cotton,Fusarium Wilt,Cotton,Fusarium Wilt,100.0%,84.0%,TRUE,TRUE
Cotton/05_Healthy.jpg,Cotton,Healthy,Cotton,Fusarium Wilt,100.0%,98.3%,TRUE,FALSE
Cotton/06_Bacterial_Blight.jpg,Cotton,Bacterial Blight,Cotton,Bacterial Blight,96.3%,100.0%,TRUE,TRUE
Mango/01_Healthy.jpg,Mango,Healthy,Mango,Healthy,100.0%,100.0%,TRUE,TRUE
Mango/02_Anthracnose.jpg,Mango,Anthracnose,Tomato,Late Blight,100.0%,93.7%,FALSE,FALSE
Mango/03_Bacterial_Canker.jpg,Mango,Bacterial Canker,Mango,Bacterial Canker,99.8%,84.0%,TRUE,TRUE
Mango/04_Healthy.jpg,Mango,Healthy,Mango,Healthy,100.0%,99.6%,TRUE,TRUE
Mango/05_Anthracnose.jpg,Mango,Anthracnose,Mango,Anthracnose,100.0%,100.0%,TRUE,TRUE
Mango/06_Bacterial_Canker.jpg,Mango,Bacterial Canker,Mango,Bacterial Canker,100.0%,91.9%,TRUE,TRUE
Banana/01_Healthy.jpg,Banana,Healthy,Banana,Sigatoka Leaf Spot,99.8%,84.0%,TRUE,FALSE
Banana/02_Sigatoka.jpg,Banana,Sigatoka,Banana,Sigatoka Leaf Spot,100.0%,100.0%,TRUE,TRUE
Banana/03_Panama_Disease.jpg,Banana,Panama Disease,Banana,Panama Fusarium Wilt,100.0%,100.0%,TRUE,FALSE
Banana/04_Healthy.jpg,Banana,Healthy,Banana,Sigatoka Leaf Spot,93.2%,84.0%,TRUE,FALSE
Banana/05_Sigatoka.jpg,Banana,Sigatoka,Banana,Panama Fusarium Wilt,100.0%,84.0%,TRUE,FALSE
Banana/06_Panama_Disease.jpg,Banana,Panama Disease,Banana,Panama Fusarium Wilt,99.8%,99.9%,TRUE,FALSE
Citrus/01_Healthy.jpg,Citrus,Healthy,Tomato,Leaf Mold,98.4%,84.0%,FALSE,FALSE
Citrus/02_Black_Spot.jpg,Citrus,Black Spot,Rice,Leaf Blast,88.0%,89.1%,FALSE,FALSE
Citrus/03_Citrus_Canker.jpg,Citrus,Citrus Canker,Tomato,Leaf Mold,99.8%,84.0%,FALSE,FALSE
Citrus/04_Greening.jpg,Citrus,Greening,Citrus,Greening,100.0%,100.0%,TRUE,TRUE
Citrus/05_Healthy.jpg,Citrus,Healthy,Chilli,Healthy,88.0%,84.0%,FALSE,FALSE
Citrus/06_Black_Spot.jpg,Citrus,Black Spot,Citrus,Black Spot,97.8%,95.9%,TRUE,TRUE
